1,Fonduta valdostana,primo
2,Costolette alla valdostana,secondo
3,Seupa à la Vapelenentse,primo
4,Tegole valdostane,dessert
5,Risotto alla Milanese,primo
6,Cotoletta alla Milanese,secondo
7,Trofie al pesto della tradizione,primo
8,Cappon magro,antipasto
9,Focaccia di Recco,secondo 
10,Pandolce,dessert
11,Pesto alla genovese,primo
12,Farinata,antipasto
13,Frico con patate e cipolle,primo
14,Prosciutto di San Daniele e fichi,antipasto
15,Gubana,dessert
16,Jota,primo
17,Goulash triestino,secondo
18,Canederli in brodo,primo
19,Strudel di mele,dessert
20,Speck Alto Adige IGP,secondo 
21,Baccalà alla vicentina,secondo
22,Tiramisù,dessert
23,Risi e Bisi,primo
24,Bigoli in salsa,primo
25,Sarde in saor,antipasto
26,Fegato alla veneziana,secondo
27,Radicchio rosso di Treviso,contorno
28,Polenta e osei,secondo
29,Paniscia novarese,primo
30,Bollito misto,secondo
31,Bagna Cauda,antipasto
32,Agnolotti del plin,primo
33,Robiola di Roccaverano,antipasto
34,Baci di dama,dessert
35,Vitello tonnato,secondo
36,Tajarin al tartufo,primo
37,Gianduiotto,dessert
38,Grissini,antipasto
39,Brasato al Barolo,secondo
40,Bonet,dessert
41,Risotto alla Milanese,primo
42,Cotoletta alla Milanese,secondo
43,Pizzoccheri della Valtellina,primo
44,Ossobuco alla Milanese,secondo
45,Polenta Taragna,primo
46,Cassoeula,secondo
47,Panettone,dessert
48,Torrone di Cremona,dessert
49,Mondeghili,antipasto
50,Sciatt,antipasto
51,Salsiccia pasqualora,secondo
52,Arancine,secondo 
53,Granita,dessert
54,Pasta con le sarde,primo
55,Busiate al pesto trapanese,primo
56,Pane cunzato,antipasto
57,Cassata siciliana,dessert
58,Pasta alla Norma,primo
59,Caponata,contorno
60,Cannoli,dessert
61,Pizza Margherita,secondo 
62,Gnocchi alla sorrentina,primo
63,Spaghetti alle vongole,primo
64,Mozzarella in carrozza,antipasto
65,Pastiera napoletana,dessert
66,Sfogliatella,dessert
67,Pizza fritta,secondo 
68,Babà,dessert
69,Limoncello,dessert
70,Zuppa inglese,dessert
71,Tortellini in brodo,primo
72,Lasagne alla bolognese,primo
73,Piadina romagnola,secondo 
74,Lasagne verdi,primo
75,Gnocco fritto,antipasto
76,Erbazzone,secondo 
77,Aceto balsamico di Modena,contorno
78,Tigelle,secondo
79,Coniglio in porchetta,secondo
80,Pane con Salame di Fabriano e Fichi ,antipasto
81,Maccheroncini di Campofilone,primo
82,Ciauscolo,antipasto
83,Caciotta d'Urbino,antipasto
84,Brodetto all'anconetana,primo
85,Stoccafisso all'anconetana,secondo
86,Passatelli in brodo,primo
87,Olive all'ascolana,antipasto
88,Crema fritta,dessert
89,Vincisgrassi,primo
90,Supplì,antipasto
91,Abbacchio scottadito,secondo
92,Carciofi alla romana,contorno
93,Pasta all'Amatriciana,primo
94,Spaghetti alla Carbonara,primo
95,Cacio e pepe,primo
96,Coda alla vaccinara,secondo
97,Porchetta di Ariccia,secondo
98,Saltimbocca alla romana,secondo
99,Pasta alla Gricia,primo
100,Carciofi alla giudia,contorno
101,Maritozzi,dessert
102,Arrosticini,secondo
103,Virtù teramane,primo
104,Pallotte cace e ove,secondo
105,Scrippelle 'mbusse,primo
106,Timballo abruzzese,primo
107,Confetti di Sulmona,dessert
108,Parrozzo,dessert
109,Scapece,contorno 
110,Torcinelli,secondo
111,Agnello cacio e ovo,secondo
112,Maccheroni alla chitarra,primo
113,Baccalà arracanato,secondo
114,Cif e ciaf,secondo
115,Pampanella,secondo
116,Ventricina,antipasto
117,Pizza e foje,primo
118,Fiadoni,antipasto
119,Sagne e fagioli,primo
120,Ferratelle,dessert
121,Rafanata,primo
122,Cutturiddi,secondo
123,Strazzata,antipasto
124,Lagane e ceci,primo
125,Pane di Matera,contorno 
126,Agnello alla lucana,secondo
127,Peperoni Cruschi,contorno
128,Orecchiette alla materana,primo
129,Zeppole di San Giuseppe,dessert
130,Sgagliozze,antipasto
131,Caprese,antipasto
132,Frittata di scammaro,secondo
133,Casatiello,antipasto
134,Polpo alla pignata,secondo
135,Bombette pugliesi,secondo
136,Burrata,antipasto
137,Caciocavallo podolico,antipasto
138,Taralli,antipasto
139,Calzone di cipolla,secondo 
140,Pucce,antipasto
141,Orecchiette con le cime di rapa,primo
142,Cozze arraganate,antipasto
143,Frisella,antipasto
144,Pane di Altamura,antipasto
145,Pasticciotto leccese,dessert
146,Rustico leccese,antipasto
147,Cartellate,dessert
148,"Tiella di riso, patate e cozze",primo
149,Nduja di Spilinga,antipasto
150,Soppressata di Calabria,antipasto
151,Stocco alla messinese,secondo
152,Stroncatura,primo
153,Maccu di fave,primo
154,Pesce spada alla ghiotta,secondo
155,Fileja,primo
156,Cioccolato di Modica,dessert
157,Tartufo di Pizzo,dessert
158,Pitta 'mpigliata,dessert
159,Morzello,secondo
160,Pasta e fagioli alla veneta,primo
161,Asiago,antipasto
162,Pandoro,dessert
163,Amarone della Valpolicella,secondo
164,Cantucci,dessert
165,Lardo di Colonnata,antipasto
166,Panzanella,antipasto
167,Lampredotto,secondo
168,Ciaffagnoni,primo
169,Finocchiona,antipasto
170,Ribollita,primo
171,Caciucco,primo
172,Bistecca alla fiorentina,secondo
173,Pici all'aglione,primo
174,Schiacciata,antipasto
175,Torta al testo,secondo
176,Acquacotta,primo
177,Bruschetta,antipasto
178,Pappa al pomodoro,primo
179,Strangozzi al tartufo nero,primo
180,Castagnaccio,dessert
181,Fagiolina del Trasimeno,contorno
182,Farro di Monteleone di Spoleto,primo
183,Imbrecciata,primo
184,Rocciata di Assisi,dessert
185,Ciaramicola,dessert
186,Coratella d'agnello,secondo
187,Mazza frissa,secondo
188,Fainè,antipasto
189,Pane carasau,contorno 
190,Grive,secondo
191,Spaghetti alla Bottarga,antipasto
192,Culurgiones,primo
193,Pecorino sardo,antipasto
194,Pane frattau,primo
195,Fregula con arselle,primo
196,Malloreddus alla campidanese,primo
197,Zuppa gallurese,primo
198,Mirto,dessert
199,Seadas,dessert
200,Porceddu,secondo
